OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
292430896,285,Fenton St & Gist Ave,32024,38.989724,-77.023854,YES,NO,,,NO,1,10,397933.4145005,146865.73881136,,
292430897,286,Carroll & Westmoreland Ave,32025,38.975,-77.01121,YES,NO,,,NO,8,6,399028.62364911,145231.02061742,,
292430898,287,Carroll & Ethan Allen Ave,32026,38.977933,-77.006472,YES,NO,,,NO,7,8,399439.20704805,145556.57211519,,
292430899,288,Battery Ln & Trolley Trail,32027,38.992375,-77.100104,YES,NO,,,NO,14,1,391327.8386053,147164.51103503,,
292430900,289,Norfolk & Rugby Ave,32028,38.990639,-77.100239,YES,NO,,,NO,4,7,391315.93174708,146971.81066443,,
292430901,290,Offutt Ln & Chevy Chase Dr,32029,38.977093,-77.094589,YES,NO,,,NO,5,6,391803.8534602,145467.55036065,,
292430902,291,Broschart & Blackwell Rd,32030,39.102099,-77.200322,YES,NO,,,NO,7,8,382672.5405711,159359.37466242,,
292430903,293,Fleet St & Ritchie Pkwy,32032,39.076331,-77.141378,YES,NO,,,NO,9,6,387766.64569552,156489.26883494,,
292430904,294,Piccard & W Gude Dr,32033,39.102212,-77.177091,YES,NO,,,NO,8,10,384681.99807835,159367.76528288,,
292430905,295,Silver Spring Transit Center - Top Level,32034,38.994035,-77.030371,YES,NO,,,NO,3,12,397368.97502075,147344.47051738,,
292430906,296,Georgia Ave & Spring St,32035,38.999388,-77.031555,YES,NO,,,NO,2,9,397266.61108519,147938.74232081,,
292430907,297,Fenton St & Ellsworth Dr,32036,38.997033,-77.025608,YES,NO,,,NO,6,9,397781.68474404,147677.15218341,,
292430908,298,King Farm Blvd & Pleasant Dr,32037,39.114688,-77.171487,YES,NO,,,NO,10,8,385169.33354228,160751.83427443,,
292430909,299,King Farm Blvd & Piccard Dr,32038,39.110314,-77.182669,YES,NO,,,NO,4,8,384201.31311065,160268.14020717,,
292430910,301,Calvert St & Woodley Pl NW,31121,38.923583,-77.050046,YES,NO,,,NO,6,13,395660.25194765,139524.3986898,,DC
292430911,302,New Jersey Ave & N St NW/Dunbar HS,31636,38.907333,-77.01536,YES,NO,,,NO,9,10,398667.75120975,137719.43588133,,DC
292430912,303,Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,YES,NO,,,NO,3,8,405910.67420774,136744.99164114,,DC
292430913,304,Deanwood Rec Center,31711,38.908473,-76.933099,YES,NO,,,NO,9,6,405802.5614741,137847.99932996,,DC
292430914,305,Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,YES,NO,,,NO,3,14,397376.94021436,134511.63048068,,DC
292430915,306,Arlington Blvd & Fillmore St,31070,38.873755,-77.089233,YES,NO,,,NO,3,8,392256.73815346,133995.68730513,,
292430916,307,Eads St & 12th St S,31071,38.862753,-77.05428,YES,NO,,,NO,7,10,395289.08481316,132771.99996419,,
292430917,308,Old Georgetown Rd & Southwick St,32039,38.999634,-77.109647,YES,NO,,,NO,5,14,390502.08229336,147971.28240078,,
292430918,309,Friendship Blvd & Willard Ave,32040,38.96115,-77.088659,YES,NO,,,NO,14,5,392315.96955553,143697.21146898,,
292430919,310,North Capitol St & G Pl NE,31637,38.899703,-77.008911,YES,NO,,,NO,10,9,399227.02220444,136872.3698297,,DC
292430920,311,31st St & S Woodrow St,31072,38.837666,-77.09482,YES,NO,,,NO,1,10,391767.76100852,129990.04042841,,
292430921,312,Washington Blvd & Walter Reed Dr,31073,38.873219,-77.082104,YES,NO,,,NO,14,1,392875.30889503,133935.6067688,,
292430922,313,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074,38.869418,-77.095596,YES,NO,,,NO,10,5,391704.07999902,133514.80715931,,
292430923,314,Connecticut Ave & Tilden St NW,31313,38.941139,-77.061977,YES,NO,,,NO,4,11,394626.976355,141473.90137718,,DC
292430924,315,Medical Center Dr & Key West Ave,32041,39.103091,-77.196442,YES,NO,,,NO,10,5,383008.38939989,159468.76971438,,
292430925,316,Shady Grove Hospital,32042,39.097636,-77.196636,YES,NO,,,NO,5,14,382990.30463098,158863.23308023,,
292430926,317,Veterans Pl & Pershing Dr,32043,38.997445,-77.023894,YES,NO,,,NO,5,4,397930.17345122,147722.84809045,,
292430927,318,Rockville Metro East,32044,39.085394,-77.145803,YES,NO,,,NO,9,4,387385.36031083,157495.97307419,,
292430928,319,1st & H St NW,31638,38.900358,-77.012108,YES,NO,,,NO,11,4,398949.71056005,136945.11200625,,DC
292430929,320,Fort Totten Metro,31515,38.952369,-77.002721,YES,NO,,,NO,9,9,399764.14322203,142718.71185822,,DC
292430930,321,Takoma Metro,31408,38.975219,-77.016855,YES,NO,,,NO,9,8,398539.47386044,145255.40691126,,DC
292430931,322,Rhode Island Ave Metro,31516,38.920682,-76.995876,YES,NO,,,NO,0,16,400357.62798091,139201.18164889,,DC
292430932,323,Rolfe St & 9th St S,31075,38.866471,-77.076131,YES,NO,,,NO,3,8,393392.99961931,133186.07966769,,
292430933,324,Shirlington Transit Center / Quincy St & Randolph St,31076,38.839912,-77.087083,YES,NO,,,NO,9,6,392439.72224526,130238.69248395,,
292430934,325,Shady Grove Metro West,32045,39.119765,-77.166093,YES,NO,,,NO,6,13,385636.84639948,161314.58449914,,
292430935,326,River Rd & Landy Ln,32046,38.964992,-77.103381,YES,NO,,,NO,5,14,391040.50480235,144125.05115003,,
292430936,327,Rockville Metro West,32047,39.084379,-77.146866,YES,NO,,,NO,8,11,387293.21007282,157383.44319069,,
292430937,328,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,32048,38.984691,-77.094537,YES,NO,,,NO,7,5,391809.23272994,146310.99720784,,
292430938,329,Iwo Jima Memorial / Meade & 14th St N,31077,38.88992,-77.071301,YES,NO,,,NO,11,7,393814.20236548,135788.75739915,,
292430939,330,34th & Water St NW,31314,38.903663,-77.067668,YES,NO,,,NO,10,8,394130.51811026,137314.0993687,,DC
292430940,331,Duke St & John Carlyle St,31081,38.804378,-77.060866,YES,NO,,,NO,1,14,394713.17102609,126292.34142583,,
292430941,332,Lee Hwy & N Cleveland St,31079,38.894941,-77.09169,YES,NO,,,NO,8,7,392045.89232185,136347.70672975,,
292430942,333,Arlington Blvd & S George Mason Dr,31078,38.869442,-77.104503,YES,NO,,,NO,9,6,390931.12467668,133518.31847561,,
292430943,334,10th & G St NW,31274,38.898243,-77.026235,YES,NO,,,NO,4,18,397724.21868838,136710.587443,,DC
292430944,335,Lee Hwy & N Scott St,31080,38.897612,-77.080851,YES,NO,,,NO,5,8,392986.43793208,136643.32022975,,
292430945,336,New Hampshire Ave & 24th St NW,31275,38.901755,-77.051084,YES,NO,,,NO,5,14,395568.88566438,137101.36038208,,DC
292430946,337,Eisenhower Ave & Mill Race Ln,31082,38.801111,-77.068952,YES,NO,,,NO,6,9,394010.54617838,125930.1835293,,
